step,split,loss,perplexity,lr,tokens,elapsed_s
6580,train,1.959573,7.0963,2.465201e-04,107806720,3207.0
6600,train,1.874397,6.5169,2.461638e-04,108134400,3219.5
6620,train,1.944885,6.9928,2.458066e-04,108462080,3232.6
6640,train,1.984254,7.2736,2.454485e-04,108789760,3247.7
6660,train,1.978534,7.2321,2.450896e-04,109117440,3258.9
6680,train,1.917220,6.8020,2.447298e-04,109445120,3269.0
6700,train,1.969406,7.1664,2.443691e-04,109772800,3277.0
6720,train,1.955617,7.0683,2.440075e-04,110100480,3285.5
6740,train,1.970129,7.1716,2.436451e-04,110428160,3295.8
6760,train,2.012037,7.4785,2.432818e-04,110755840,3304.1
6780,train,2.040740,7.6963,2.429176e-04,111083520,3312.4
6800,train,2.008844,7.4547,2.425526e-04,111411200,3320.9
6820,train,1.956796,7.0766,2.421868e-04,111738880,3329.0
6840,train,1.903536,6.7096,2.418201e-04,112066560,3337.9
6860,train,2.018767,7.5290,2.414526e-04,112394240,3346.0
6880,train,1.971751,7.1832,2.410842e-04,112721920,3354.0
6900,train,1.886142,6.5939,2.407150e-04,113049600,3362.3
6920,train,2.020499,7.5421,2.403450e-04,113377280,3370.6
6940,train,1.891962,6.6324,2.399741e-04,113704960,3378.6
6960,train,1.959965,7.0991,2.396025e-04,114032640,3386.2
6980,train,2.046648,7.7419,2.392300e-04,114360320,3394.9
7000,train,1.909547,6.7500,2.388567e-04,114688000,3405.4
7000,val,1.838575,6.2876,2.388567e-04,114688000,3410.0
7020,train,1.931256,6.8982,2.384826e-04,115015680,3422.3
7040,train,1.914646,6.7845,2.381077e-04,115343360,3433.4
7060,train,1.906912,6.7323,2.377320e-04,115671040,3444.3
7080,train,1.845846,6.3335,2.373555e-04,115998720,3455.8
7100,train,1.906955,6.7326,2.369782e-04,116326400,3466.8
7120,train,1.921181,6.8290,2.366001e-04,116654080,3477.6
7140,train,1.972400,7.1879,2.362212e-04,116981760,3488.9
7160,train,1.973232,7.1939,2.358416e-04,117309440,3499.6
7180,train,2.009593,7.4603,2.354612e-04,117637120,3510.5
7200,train,1.964542,7.1316,2.350800e-04,117964800,3521.3
7220,train,1.930573,6.8935,2.346980e-04,118292480,3531.9
7240,train,2.011633,7.4755,2.343153e-04,118620160,3542.7
7260,train,2.010867,7.4698,2.339318e-04,118947840,3553.9
7280,train,1.999619,7.3862,2.335476e-04,119275520,3564.7
7300,train,1.885520,6.5898,2.331626e-04,119603200,3575.7
7320,train,1.965350,7.1374,2.327769e-04,119930880,3586.4
7340,train,1.882867,6.5723,2.323904e-04,120258560,3597.2
7360,train,1.919117,6.8149,2.320032e-04,120586240,3607.9
7380,train,1.914685,6.7848,2.316153e-04,120913920,3618.3
7400,train,1.923768,6.8467,2.312266e-04,121241600,3629.2
7420,train,1.921586,6.8318,2.308372e-04,121569280,3637.3
7440,train,1.878545,6.5440,2.304471e-04,121896960,3641.7
7460,train,1.887527,6.6030,2.300563e-04,122224640,3646.1
7480,train,1.903773,6.7112,2.296648e-04,122552320,3659.9
7500,train,1.823682,6.1946,2.292725e-04,122880000,3677.0
7500,val,1.822215,6.1855,2.292725e-04,122880000,3683.4
7520,train,1.926373,6.8646,2.288796e-04,123207680,3696.2
7540,train,1.906056,6.7265,2.284859e-04,123535360,3706.5
7560,train,1.904432,6.7156,2.280916e-04,123863040,3715.9
7580,train,1.920671,6.8255,2.276966e-04,124190720,3726.3
7600,train,1.918284,6.8093,2.273009e-04,124518400,3736.3
7620,train,1.882051,6.5670,2.269045e-04,124846080,3746.8
7640,train,1.898572,6.6764,2.265074e-04,125173760,3757.9
7660,train,1.974497,7.2030,2.261096e-04,125501440,3768.6
7680,train,1.907204,6.7342,2.257112e-04,125829120,3780.1
7700,train,1.929495,6.8860,2.253122e-04,126156800,3791.9
7720,train,1.879005,6.5470,2.249124e-04,126484480,3804.2
7740,train,1.935615,6.9283,2.245120e-04,126812160,3815.9
7760,train,1.936101,6.9317,2.241110e-04,127139840,3826.4
7780,train,2.005400,7.4291,2.237093e-04,127467520,3840.0
7800,train,1.920487,6.8243,2.233070e-04,127795200,3853.0
7820,train,2.022181,7.5548,2.229040e-04,128122880,3864.3
7840,train,1.927058,6.8693,2.225004e-04,128450560,3875.0
7860,train,1.788449,5.9802,2.220962e-04,128778240,3887.2
7880,train,1.936678,6.9357,2.216913e-04,129105920,3904.0
7900,train,1.907701,6.7376,2.212858e-04,129433600,3921.2
7920,train,1.922309,6.8367,2.208798e-04,129761280,3936.7
7940,train,1.956542,7.0748,2.204730e-04,130088960,3951.9
7960,train,1.918755,6.8125,2.200657e-04,130416640,3967.2
7980,train,1.930343,6.8919,2.196578e-04,130744320,3982.3
8000,train,1.862678,6.4410,2.192493e-04,131072000,3997.8
8000,val,1.807818,6.0971,2.192493e-04,131072000,4004.4
8020,train,1.833259,6.2542,2.188402e-04,131399680,4020.3
8040,train,1.973984,7.1993,2.184305e-04,131727360,4035.7
8060,train,1.893458,6.6423,2.180203e-04,132055040,4051.8
8080,train,1.814035,6.1352,2.176094e-04,132382720,4067.3
8100,train,1.954375,7.0595,2.171980e-04,132710400,4082.0
8120,train,1.878894,6.5463,2.167860e-04,133038080,4096.6
8140,train,1.923567,6.8453,2.163734e-04,133365760,4112.0
8160,train,1.912103,6.7673,2.159603e-04,133693440,4126.4
8180,train,1.839581,6.2939,2.155466e-04,134021120,4139.5
8200,train,1.894275,6.6477,2.151324e-04,134348800,4152.2
8220,train,1.876104,6.5280,2.147176e-04,134676480,4165.4
8240,train,1.903323,6.7082,2.143022e-04,135004160,4180.5
8260,train,1.859361,6.4196,2.138864e-04,135331840,4196.0
8280,train,1.846491,6.3375,2.134700e-04,135659520,4212.0
8300,train,1.932198,6.9047,2.130530e-04,135987200,4228.1
8320,train,1.930496,6.8929,2.126356e-04,136314880,4244.1
8340,train,1.911811,6.7653,2.122176e-04,136642560,4259.3
8360,train,1.863576,6.4467,2.117991e-04,136970240,4274.3
8380,train,1.896935,6.6654,2.113801e-04,137297920,4290.2
8400,train,1.953562,7.0538,2.109606e-04,137625600,4305.5
8420,train,1.898270,6.6743,2.105405e-04,137953280,4321.6
